x,y
146.2634305545453,208.88619947140245
200.19168683786964,245.5912549437352
239.02324633191222,124.86759888595394
180.60530733495744,121.24394188267289
113.75300018991456,240.0215930963902
115.54777129508646,187.33952908598457
208.95131112839493,222.1578122749102
155.89018575184713,129.0676673202065
214.2269744512394,130.60847132770755
170.13264906747503,178.98380053255343
109.93325719280679,212.86253412408416
225.94047235620073,133.29769465189116
202.18074950288448,228.22145382473406
207.48137416865586,245.0684991026902
247.86888899090243,162.80512948757644
200.14213462829642,171.22509415705295
195.7894243837997,194.0728026472927
148.6744237121662,217.36647366876713
244.61956062299527,153.06297887804428
162.27541756454136,208.34185615597625
206.2941506986083,244.20953222340034
149.97402357264122,212.76849241978206
102.11525598282014,150.35757696215742
123.1613005561866,138.2369379142536
213.3063787457628,130.17352478157906
214.86840383943428,221.39654315276613
124.85953261938805,242.90664001026562
239.66118027429837,232.30033968570345
108.9203298544434,246.7627329015006
213.07491119571978,143.21835429027385
172.27412433002007,174.31951534202653
129.05454141452833,185.1533360366459
118.84595628797592,100.2438113391775
133.2346963161701,182.77122478963952
105.25694040704133,200.29170365024748
187.8436139581081,160.2872585047186
167.98961580360577,163.88169395741858
116.06346044192179,244.04824197478155
123.56135305844444,102.8007242140953
140.4308254466024,162.2776418635011
136.2841406739568,114.66719328913865
145.56697301008805,224.88919978535023
222.6524206164511,212.62647601143686
249.7874267264774,159.17904044648105
220.48576262392254,139.38480680603993
228.491839210459,203.71274926998024
132.5279476746963,192.92512310597144
233.8271577463412,123.01391742047416
108.02128988228137,213.20597092174054
131.74885988299474,128.46001199859933
143.79534631783827,192.56398974719332
100.12808740744147,122.79790579744346
241.658633961915,243.6228604219051
233.85764350336208,205.79048175495876
184.2077959585978,171.4429965881692
181.03308443978878,116.90121117614287
150.75442227791697,132.48946874874687
154.39056352817153,121.87024792253649
226.00215211031377,209.75770996519248
247.1204731215832,214.57033456851985
233.63167367468063,122.15603861757896
171.32385724468202,180.43688898272038
208.9111400409635,105.13350792071013
185.34579802178496,121.56632383774522
181.51615180658774,199.7024588757148
246.36746170754682,160.3034169784848
191.23866551140472,100.32721004499093
181.8099367993193,193.88091164688132
121.84975432120586,205.43440500124262
114.15636495204234,232.6117968912198
174.59837202183135,144.3552463661557
189.86232822815833,205.04742741049222
195.80305208703322,180.1882132031061
146.55201962483022,168.61796227428178
223.8476040374416,131.45542218465343
161.31109179733423,147.94405208107327
214.51866896697567,217.18171944846316
129.49821985307932,102.7896028833819
105.5060259082548,234.13357646302003
231.3076245486458,235.08295252672474
226.10700078598143,152.46084037387192
235.73256322068488,154.33494316976305
244.91167602067793,128.69712509284622
168.35245181815264,198.57268067820758
245.56096725469357,127.10501682727958
111.93523050398841,208.74660552865822
135.86256720145428,108.77750993302718
194.24492897985658,121.46437002252853
102.4884306601058,155.5265552843002
108.13223228852561,163.6077086708219
176.9816107643806,197.07651190678817
174.64648232252762,227.87954931894967
142.51480210239296,231.26859881010992
145.35934643996603,127.76305855324564
227.56301355829686,199.64870866102802
128.82474545236386,198.5289182116848
228.8528195785186,146.75578754077182
224.54996594358272,226.9430002306143
247.29269192697683,159.72299544332498
118.6502954673269,224.5110893927801
